Party,Name,Branch,Username,ids
Democratic,Terri Sewell,House,RepTerriSewell,381152398
Republican,John Boozman,Senate,JohnBoozman,5558312
Republican,Michael McCaul,House,RepMcCaul,26424123
Republican,Tom McClintock,House,RepMcClintock,50152441
Republican,Ken Calvert,House,KenCalvert,22545491
Republican,Andy Harris,House,RepAndyHarrisMD,960962340
Republican,Barry Loudermilk,House,RepLoudermilk,2914163523
Republican,Carlos Giménez,House,RepCarlos,1343679195034103808
Democratic,Antonio Delgado,House,Repdelgado,1080485692298444800
Republican,Hal Rogers,House,RepHalRogers,550401754
Republican,Gary Palmer,House,USRepGaryPalmer,2861616083
Republican,Mary Miller,House,RepMaryMiller,1343656635907125250
Democratic,Jeanne Shaheen,Senate,SenatorShaheen,109287731
Democratic,Mikie Sherrill,House,RepSherrill,1080569698536878081
Democratic,Jamaal Bowman,House,RepBowman,1344389506963808264
Democratic,Salud Carbajal,House,RepCarbajal,816157667882373120
Democratic,Ro Khanna,House,RepRoKhanna,816298918468259841
Democratic,Joe Courtney,House,RepJoeCourtney,85396297
Democratic,Gwen Moore,House,RepGwenMoore,22669526
Republican,Kevin Cramer,Senate,SenKevinCramer,1048784496
Republican,Mike Braun,Senate,SenatorBraun,1080870981877534720
Democratic,Mike Doyle,House,USRepMikeDoyle,39249305
Democratic,David Trone,House,RepDavidTrone,1080573351914061825
Democratic,Jim Himes,House,Jahimes,31611298
Republican,Randy Weber,House,TXRandy14,1058051748
Democratic,Maxine Waters,House,RepMaxineWaters,36686040
Democratic,Chris Coons,Senate,ChrisCoons,15324851
Democratic,Mondaire Jones,House,MondaireJones,872143958847045632
Republican,John Curtis,House,RepJohnCurtis,931614483050414080
Democratic,Doris Matsui,House,DorisMatsui,38254095
Republican,Jim Baird,House,RepJimBaird,1086316494450032640
Democratic,Adam Smith,House,RepAdamSmith,58928690
Democratic,Jamie Raskin,House,RepRaskin,806906355214852096
Democratic,Raul Ruiz,House,RepRaulRuizMD,1089859058
Democratic,Lois Frankel,House,RepLoisFrankel,1077121945
Republican,Kay Granger,House,RepKayGranger,161743731
Republican,Kevin McCarthy,House,GOPLeader,19739126
Democratic,Jason Crow,House,RepJasonCrow,1080191866509901826
Republican,Mike Crapo,Senate,MikeCrapo,600463589
Democratic,André Carson,House,RepAndreCarson,199325935
Republican,Mike Johnson,House,RepMikeJohnson,827279765287559171
Republican,Bob Gibbs,House,RepBobGibbs,234822928
Republican,Chip Roy,House,RepChipRoy,1082790600292925440
Republican,Sam Graves,House,RepSamGraves,29766367
Democratic,Ted Deutch,House,RepTedDeutch,137794015
Democratic,G. K. Butterfield,House,GKButterfield,432676344
Republican,Marjorie Taylor Greene,House,RepMTG,1344356576786866176
Democratic,Matt Cartwright,House,RepCartwright,776664410
Republican,Russ Fulcher,House,RepRussFulcher,1078741899572240384
Republican,Larry Bucshon,House,RepLarryBucshon,234812598
Democratic,Gregory Meeks,House,RepGregoryMeeks,22812754
Democratic,Chris Pappas,House,ChrisPappasNH,574799823
Republican,Andy Barr,House,RepAndyBarr,1089334250
Democratic,Zoe Lofgren,House,RepZoeLofgren,267938462
Democratic,Ted Lieu,House,RepTedLieu,3044993235
Democratic,Tim Kaine,Senate,Timkaine,172858784
Democratic,Greg Stanton,House,RepGregStanton,1080885078425784320
Republican,Pat Toomey,Senate,SenToomey,221162525
Democratic,Don Beyer,House,RepDonBeyer,2962868158
Democratic,Kathy Manning,House,RepKManning,1337115670161608712
Democratic,Ritchie Torres,House,RitchieTorres,1247612029
Democratic,Andy Kim,House,AndyKimNJ,24215154
Republican,Ron Johnson,Senate,SenRonJohnson,233737858
Republican,Lauren Boebert,House,RepBoebert,1342989756611907584
Democratic,Ron Wyden,Senate,RonWyden,250188760
Republican,Jerry Moran,Senate,JerryMoran,18632666
Republican,Tim Walberg,House,RepWalberg,237862972
Republican,Mike Carey,House,RepMikeCarey,1457745193197780993
Democratic,Anna Eshoo,House,RepAnnaEshoo,249348006
Democratic,Tammy Baldwin,Senate,SenatorBaldwin,1074518754
Democratic,Karen Bass,House,RepKarenBass,239949176
Republican,Mike Simpson,House,CongMikeSimpson,76132891
Republican,Dan Crenshaw,House,RepDanCrenshaw,1080894931311431682
Democratic,"Jesús ""Chuy"" García",House,ChuyForCongress,2847603597
Democratic,Raja Krishnamoorthi,House,RajaForCongress,62649021
Republican,Lee Zeldin,House,RepLeeZeldin,2750127259
Democratic,Tina Smith,Senate,SenTinaSmith,941000686275387392
Republican,Roger Marshall,Senate,RogerMarshallMD,1240107944
Democratic,Carolyn Bourdeaux,House,RepBourdeaux,1343620645452595200
Republican,Dusty Johnson,House,RepDustyJohnson,1074782372594413569
Democratic,Steny Hoyer,House,LeaderHoyer,22012091
Republican,Cindy Hyde-Smith,Senate,SenHydeSmith,983348251972816896
Republican,Deb Fischer,Senate,SenatorFischer,1071402577
Democratic,Dina Titus,House,Repdinatitus,122174004
Republican,Buddy Carter,House,RepBuddyCarter,2973870195
Democratic,Donald Payne Jr.,House,DonaldPayneJr,571909015
Republican,Mike Bost,House,RepBost,2964877294
Democratic,Kai Kahele,House,RepKahele,1351966874377056257
Republican,Jack Bergman,House,RepJackBergman,815241612154417152
Democratic,David Cicilline,House,RepCicilline,462143773
Republican,Julia Letlow,House,RepJuliaLetlow,1382395679700439041
Republican,Virginia Foxx,House,Virginiafoxx,16256269
Republican,Brian Mast,House,RepBrianMast,814103950404239360
Democratic,Josh Harder,House,RepJoshHarder,1080851152151953410
Republican,Vicky Hartzler,House,RepHartzler,237763317
Democratic,Susan Wild,House,RepSusanWild,1069636653353000962
